"","VALUE","Freq","EVT_NAME","LFRDB","EVT_FUEL","EVT_FUEL_N","EVT_LF","EVT_PHYS","EVT_GP","EVT_GP_N","SAF_SRM","EVT_ORDER","EVT_CLASS","EVT_SBCLS","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"34",7973,42312,"Eastern Cool Temperate Row Crop - Close Grown Crop",7973,2963,"Da Row Crop - Close Grown Crop","Agriculture","Agricultural",63,"Agricultural-Row Crop-Close Grown Crop","LF 80: Agriculture","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",255,245,140,1,0.960784,0.54902,9410,0.1
"35",7974,157440,"Eastern Cool Temperate Row Crop",7974,2964,"Da Row Crop","Agriculture","Agricultural",64,"Agricultural-Row Crop","LF 80: Agriculture","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",250,255,119,0.980392,1,0.466667,35014,0.3
"36",7975,149010,"Eastern Cool Temperate Close Grown Crop",7975,2965,"Da Close Grown Crop","Agriculture","Agricultural",65,"Agricultural-Close Grown Crop","LF 80: Agriculture","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",255,237,119,1,0.929412,0.466667,33139,0.3
"37",7976,18002,"Eastern Cool Temperate Fallow/Idle Cropland",7976,2966,"Dab Fallow/Idle Cropland","Herb","Agricultural",66,"Agricultural-Fallow/Idle Cropland","LF 80: Agriculture","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",255,255,119,1,1,0.466667,4004,0
"38",7977,1172903,"Eastern Cool Temperate Pasture and Hayland",7977,2967,"Dab Pasture and Hayland","Herb","Agricultural",67,"Agricultural-Pasture and Hayland","LF 80: Agriculture","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",227,212,28,0.890196,0.831373,0.109804,260847,2.4
"39",7978,13477,"Eastern Cool Temperate Wheat",7978,2968,"Da Wheat","Agriculture","Agricultural",68,"Agricultural-Wheat","LF 80: Agriculture","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",250,227,163,0.980392,0.890196,0.639216,2997,0
"40",7979,2653,"Eastern Cool Temperate Aquaculture",7979,2969,"Da Aquaculture","Agriculture","Agricultural",69,"Agricultural-Aquaculture","LF 80: Agriculture","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",210,255,237,0.823529,1,0.929412,590,0
"41",9055,143738,"Boreal-Laurentian Bog",9055,2477,"Tr Boreal Acidic Peatland Systems","Shrub","Riparian",683,"Peatland Forests","SAF 13: Black Spruce-Tamarack","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",186,163,119,0.729412,0.639216,0.466667,31967,0.3
"42",9056,3094498,"Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen",9056,2477,"Tr Boreal Acidic Peatland Systems","Tree","Riparian",683,"Peatland Forests","SAF 13: Black Spruce-Tamarack","Tree-dominated","Open tree canopy","Evergreen open tree canopy",186,163,119,0.729412,0.639216,0.466667,688200,6.3
"43",9057,39682,"Boreal-Laurentian-Acadian Acidic Basin Fen",9057,2494,"Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Shrub","Riparian",675,"Inland Marshes and Prairies","LF 44: Laurentian-Acadian Herbaceous Wetland","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",255,92,38,1,0.360784,0.14902,8825,0.1
"44",9088,6076,"Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce Forest",9088,2344,"Tr Boreal Jack Pine-Black Spruce Forest","Tree","Conifer",676,"Jack Pine Forest","SAF 1: Jack Pine","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",174,245,224,0.682353,0.960784,0.878431,1351,0
"45",9089,2705099,"Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest",9089,2365,"Tr Boreal White Spruce-Fir Forest","Tree","Conifer",693,"Spruce-Fir-Hardwood Forest","SAF 5: Balsam Fir","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",182,250,227,0.713725,0.980392,0.890196,601600,5.6
"46",9099,398,"Great Lakes Acidic Rocky Shore and Cliff",9099,2499,"Sps Laurentian-Acadian Sparsely Vegetated Systems","Sparse","Sparsely Vegetated",700,"Sparse Vegetation","LF 33: Sparsely Vegetated","No Dominant Lifeform","Sparsely vegetated","Sparsely vegetated",100,100,100,0.392157,0.392157,0.392157,89,0
"47",9100,628,"Great Lakes Alkaline Rocky Shore and Cliff",9100,2499,"Sps Laurentian-Acadian Sparsely Vegetated Systems","Sparse","Sparsely Vegetated",700,"Sparse Vegetation","LF 33: Sparsely Vegetated","No Dominant Lifeform","Sparsely vegetated","Sparsely vegetated",100,100,100,0.392157,0.392157,0.392157,140,0
"48",9101,7992,"Great Lakes Dune",9101,2499,"Sps Laurentian-Acadian Sparsely Vegetated Systems","Sparse","Sparsely Vegetated",700,"Sparse Vegetation","LF 33: Sparsely Vegetated","No Dominant Lifeform","Sparsely vegetated","Sparsely vegetated",100,100,100,0.392157,0.392157,0.392157,1777,0
"49",9111,13315,"Laurentian Acidic Rocky Outcrop Woodland",9111,2559,"Tr Laurentian Acidic Rocky Outcrop","Tree","Conifer",676,"Jack Pine Forest","SAF 15: Red Pine","Tree-dominated","Sparse tree canopy","Evergreen sparse tree canopy",174,245,224,0.682353,0.960784,0.878431,2961,0
"50",9112,2179262,"Laurentian Jack Pine-Red Pine Forest",9112,2246,"Tr Laurentian Jack Pine-Red Pine Forest","Tree","Conifer",676,"Jack Pine Forest","SAF 15: Red Pine","Tree-dominated","Sparse tree canopy","Evergreen sparse tree canopy",174,245,224,0.682353,0.960784,0.878431,484656,4.5
"51",9113,413,"Laurentian-Acadian Acidic Cliff and Talus",9113,2499,"Sps Laurentian-Acadian Sparsely Vegetated Systems","Sparse","Sparsely Vegetated",700,"Sparse Vegetation","LF 33: Sparsely Vegetated","No Dominant Lifeform","Sparsely vegetated","Sparsely vegetated",100,100,100,0.392157,0.392157,0.392157,92,0
"52",9114,14723,"Laurentian-Acadian Alkaline Fen",9114,2494,"Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Shrub","Riparian",675,"Inland Marshes and Prairies","LF 44: Laurentian-Acadian Herbaceous Wetland","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",255,92,38,1,0.360784,0.14902,3274,0
"53",9115,39,"Laurentian-Acadian Calcareous Cliff and Talus",9115,2499,"Sps Laurentian-Acadian Sparsely Vegetated Systems","Sparse","Sparsely Vegetated",700,"Sparse Vegetation","LF 33: Sparsely Vegetated","No Dominant Lifeform","Sparsely vegetated","Sparsely vegetated",100,100,100,0.392157,0.392157,0.392157,9,0
"54",9117,175380,"Laurentian-Acadian Floodplain Forest",9117,2475,"Tr Laurentian-Acadian Floodplain Systems","Tree","Riparian",666,"Eastern Floodplain Forests","SAF 39: Black Ash-American Elm-Red Maple","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",50,137,168,0.196078,0.537255,0.658824,39004,0.4
"55",9118,188129,"Laurentian-Acadian Freshwater Marsh",9118,2494,"Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Herb","Riparian",675,"Inland Marshes and Prairies","LF 44: Laurentian-Acadian Herbaceous Wetland","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,92,38,1,0.360784,0.14902,41839,0.4
"56",9120,353136,"Laurentian-Acadian Wet Meadow",9120,2494,"Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Herb","Riparian",783,"Wet Meadow","LF 44: Laurentian-Acadian Herbaceous Wetland","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,92,38,1,0.360784,0.14902,78536,0.7
"57",9183,1,"North-Central Interior Shrub Swamp",9183,2493,"Sh Central Interior and Appalachian Shrub-Herbaceous Wetland Systems","Shrub","Riparian",675,"Inland Marshes and Prairies","LF 45: Central Interior and Appalachian Herbaceous Wetland","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",91,195,199,0.356863,0.764706,0.780392,0,0
"58",9202,32691,"Northern Great Lakes Coastal Marsh",9202,2492,"He Great Lakes Coastal Marsh Systems","Herb","Riparian",675,"Inland Marshes and Prairies","LF 44: Laurentian-Acadian Herbaceous Wetland","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,92,38,1,0.360784,0.14902,7270,0.1
"59",9203,2366,"Northern Great Lakes Interdunal Wetland",9203,2492,"He Great Lakes Coastal Marsh Systems","Herb","Riparian",675,"Inland Marshes and Prairies","LF 44: Laurentian-Acadian Herbaceous Wetland","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,92,38,1,0.360784,0.14902,526,0
"60",9295,2008,"Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce-Hardwood Forest",9088,2544,"Tr Boreal Jack Pine-Black Spruce-Hardwood Forest","Tree","Conifer-Hardwood",676,"Jack Pine Forest","SAF 1: Jack Pine","Tree-dominated","Closed tree canopy","Mixed evergreen-deciduous closed tree canopy",174,245,224,0.682353,0.960784,0.878431,447,0
"61",9312,455365,"Northeastern North American Temperate Forest Plantation",9312,2562,"Tr Northeastern North American Temperate Forest Plantation","Tree","Conifer",731,"Managed Tree Plantation","LF 61: Managed Tree Plantation","Tree-dominated","Open Tree Canopy","Evergreen open tree canopy",158,67,14,0.619608,0.262745,0.054902,101271,0.9
"62",9314,7265,"Northern & Central Native Ruderal Flooded & Swamp Forest",9314,2565,"Tr Northern & Central Native Ruderal Flooded & Swamp Forest","Tree","Riparian",740,"Ruderal Forest","LF 53: Ruderal Forest","Tree-dominated","Closed tree canopy","Mixed evergreen-deciduous closed tree canopy",255,105,46,1,0.411765,0.180392,1616,0
"63",9315,135246,"Northern & Central Native Ruderal Forest",9315,2566,"Tr Northern & Central Native Ruderal Forest","Tree","Conifer-Hardwood",740,"Ruderal Forest","LF 53: Ruderal Forest","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",255,105,46,1,0.411765,0.180392,30078,0.3
"64",9317,46874,"Northern & Central Ruderal Shrubland",9317,2568,"Sh Northern & Central Ruderal Meadow & Shrubland","Shrub","Exotic Tree-Shrub",706,"Introduced Upland Vegetation-Shrub","LF 52: Introduced Upland Vegetation - Shrub","Shrub-dominated","Shrubland","Deciduous shrubland",255,105,46,1,0.411765,0.180392,10425,0.1
"65",9318,2076,"Northern & Central Ruderal Wet Meadow & Marsh",9318,2569,"He Northern & Central Ruderal Wet Meadow & Marsh","Herb","Riparian",709,"Introduced Herbaceous Wetland Vegetation","LF 59: Introduced Herbaceous Wetland and Riparian Vegetation","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,105,46,1,0.411765,0.180392,462,0
"66",9601,3011,"Great Lakes Dune Grassland",9101,2251,"He Great Lakes Dune Grassland","Herb","Grassland",654,"Atlantic Dunes and Grasslands","LF 57: Dunes and Maritime Grasslands","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,98,41,1,0.384314,0.160784,670,0
"67",9611,1168,"Laurentian Acidic Rocky Outcrop Shrubland",9111,2559,"Tr Laurentian Acidic Rocky Outcrop","Shrub","Shrubland",676,"Jack Pine Forest","SAF 15: Red Pine","Shrub-dominated","Shrubland","Evergreen shrubland",174,245,224,0.682353,0.960784,0.878431,260,0
"68",9617,3393,"Laurentian-Acadian Floodplain Shrubland",9117,2475,"Tr Laurentian-Acadian Floodplain Systems","Shrub","Riparian",666,"Eastern Floodplain Forests","SAF 39: Black Ash-American Elm-Red Maple","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",50,137,168,0.196078,0.537255,0.658824,755,0
"69",9620,177687,"Laurentian-Acadian Shrub Swamp",9120,2494,"Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Shrub","Riparian",675,"Inland Marshes and Prairies","LF 44: Laurentian-Acadian Herbaceous Wetland","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",255,92,38,1,0.360784,0.14902,39517,0.4
"70",9817,1004751,"Northern & Central Ruderal Meadow",9317,2568,"Sh Northern & Central Ruderal Meadow & Shrubland","Herb","Exotic Herbaceous",703,"Introduced Perennial Grassland and Forbland","LF 54: Introduced Upland Vegetation - Herbaceous","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,105,46,1,0.411765,0.180392,223451,2.1
